variant,conjunto,n,Precisión del contexto,Cobertura del contexto,Corrección factual,Fidelidad,Relevancia de la respuesta
baseline_all_on,wikipedia,50,0.9529999999257055,0.99,0.6867418446856156,0.8029562015919601,0.7791468864533476
no_query_decomposition,wikipedia,50,0.9529999999257055,0.99,0.7044353980561209,0.7674573725594134,0.8031407212322381
no_lexical_search,wikipedia,50,0.9583333332578612,0.99,0.6681164167244508,0.7947451886536573,0.8029165765123488
no_exhaustive_search,wikipedia,50,0.9703333332567945,0.99,0.6688897037678357,0.7668513007054675,0.7736249828721331
no_reranker,wikipedia,50,0.7963015872402481,0.9,0.6590672872531168,0.7585666185666186,0.7634278669259656
no_context_expansion,wikipedia,50,0.96966666659125,0.97,0.61511126464384,0.8149444659648741,0.7665343015517818
