comparison,variant,checkpoint_path,output_path,dataset_path,eval_corpus,n_samples,Token_F1,Token_F1_sd,ROUGE_L_F1,ROUGE_L_F1_sd,BERTScore_P,BERTScore_R,BERTScore_F1,BERTScore_F1_sd,bertscore_model,bertscore_batch_size,bertscore_lang,bertscore_rescale_with_baseline
bm25rerun_ragbench_visual,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\visual\dataset_ragbench_visual_image_table_25p_5q.json,en,125,20.58,10.63,15.96,8.9,-4.53,29.29,9.64,17.04,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_visual,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\visual\dataset_ragbench_visual_image_table_25p_5q.json,en,125,23.35,13.55,18.95,13.21,1.05,31.51,13.67,19.31,microsoft/deberta-xlarge-mnli,32,en,True
