comparison,variant,checkpoint_path,output_path,dataset_path,eval_corpus,n_samples,Token_F1,Token_F1_sd,ROUGE_L_F1,ROUGE_L_F1_sd,BERTScore_P,BERTScore_R,BERTScore_F1,BERTScore_F1_sd,bertscore_model,bertscore_batch_size,bertscore_lang,bertscore_rescale_with_baseline
bm25rerun_es,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,50,59.46,14.9,52.63,16.86,56.71,50.72,52.97,18.16,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_es,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,50,62.09,15.1,55.18,18.19,61.81,51.47,55.89,17.19,microsoft/deberta-xlarge-mnli,32,en,True
