variant,conjunto,n,Precisión del contexto,Cobertura del contexto,Corrección factual,Fidelidad,Relevancia de la respuesta
baseline_all_on,wikipedia,50,0.974199999928207,0.99,0.6720502941572539,0.8577742763772176,0.8139412304548717
no_context_expansion,wikipedia,50,0.9808666665922071,0.99,0.6961767461408637,0.7820308025308026,0.8072319218838032
no_context_optimization,wikipedia,50,0.971749999927909,0.99,0.6596861123028422,0.8124351029087872,0.8049275582619072
no_exhaustive_search,wikipedia,50,0.9700833332614646,0.99,0.7095206652876211,0.7860694881314076,0.8101905780462758
no_lexical_search,wikipedia,50,0.9817499999253811,0.99,0.693280218886689,0.841563492063492,0.8089194871351622
no_query_decomposition,wikipedia,50,0.9791999999270682,0.99,0.6912663054354228,0.8906558178130186,0.8136397131421813
no_recomp_synthesis,wikipedia,50,0.9719499999284994,0.99,0.6610928420192317,0.8827054991791834,0.8014880427024959
no_reranker,wikipedia,50,0.8156825396188851,0.94,0.675886088062879,0.7792103297459334,0.7885128771945584
