comparison,variant,checkpoint_path,output_path,dataset_path,eval_corpus,n_samples,Token_F1,Token_F1_sd,ROUGE_L_F1,ROUGE_L_F1_sd,BERTScore_P,BERTScore_R,BERTScore_F1,BERTScore_F1_sd,bertscore_model,bertscore_batch_size,bertscore_lang,bertscore_rescale_with_baseline
bm25rerun_ca_ca,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,50,56.22,13.27,46.99,14.33,54.14,44.77,48.82,13.78,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ca_ca,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,50,58.73,15.58,53.2,18.2,64.14,47.2,54.77,14.72,microsoft/deberta-xlarge-mnli,32,en,True
