variant,conjunto,n,Context Precision,Context Recall,Factual Correctness,Faithfulness,Response Relevancy
baseline_all_on,text-image,104,0.7134674924329935,0.6858974358974359,0.46498842400329754,0.9024382602691426,0.7313389003311327
baseline_all_on,text-table,21,0.6610638699518931,0.8809523809523809,0.4757728442440767,0.7995972073039742,0.6918339100808172
