Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,23.07,24.71,21.40,38.17,58.15,33.10
Mistral-7B-Instruct-v0.3,26.79,30.86,23.96,35.34,51.51,33.69
Qwen2.5-14B-Instruct,26.63,27.87,24.61,38.42,56.80,34.87
Qwen3-14B,30.60,30.87,27.39,38.96,55.17,36.60
Qwen3.5-9B,27.93,31.67,24.16,34.59,41.06,31.88
gemma-3-12b-it,27.32,28.18,23.24,40.34,62.18,36.25
phi-4,35.53,35.57,31.27,36.49,44.98,36.77
