Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,28.47,28.49,25.60,47.52,63.56,38.73
Mistral-7B-Instruct-v0.3,35.63,37.45,30.75,43.48,57.22,40.91
Qwen2.5-14B-Instruct,32.84,33.53,30.52,47.69,62.13,41.34
Qwen3-14B,37.77,36.53,33.66,48.30,60.38,43.33
Qwen3.5-9B,35.09,39.79,30.39,41.99,48.17,39.09
gemma-3-12b-it,32.32,33.31,28.10,48.97,66.84,41.91
phi-4,45.80,44.67,40.47,44.46,50.46,45.17
