Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,23.10,18.10,23.00,39.50,64.30,33.60
Mistral-7B-Instruct-v0.3,43.30,34.00,38.30,68.10,81.80,53.10
Qwen2.5-14B-Instruct,31.00,24.60,32.90,55.00,67.70,42.20
Qwen3-14B,37.30,27.50,36.30,60.60,82.20,48.80
Qwen3.5-9B,37.60,43.00,37.10,82.50,110.30,62.10
gemma-3-12b-it,26.70,23.20,26.80,44.90,51.10,34.50
phi-4,57.00,41.80,50.70,75.20,102.60,65.50
