Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,120.00,135.70,131.00,127.00,170.70,136.90
Mistral-7B-Instruct-v0.3,77.10,92.10,79.10,104.80,132.00,97.00
Qwen2.5-14B-Instruct,87.20,82.20,83.10,86.10,127.00,93.10
Qwen3-14B,131.80,117.90,132.90,113.30,142.60,127.70
Qwen3.5-9B,243.80,254.40,237.60,216.50,264.30,243.30
gemma-3-12b-it,159.70,214.50,172.80,175.90,251.70,194.90
phi-4,155.50,133.50,139.40,142.40,170.80,148.30
