Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,9.63,14.88,10.93,6.39,11.89,10.74
Mistral-7B-Instruct-v0.3,-2.78,19.52,4.56,16.09,17.50,10.98
Qwen2.5-14B-Instruct,12.05,19.84,11.89,12.91,17.09,14.76
Qwen3-14B,14.70,18.70,13.70,11.44,14.81,14.67
Qwen3.5-9B,12.94,9.91,11.32,1.08,4.42,7.93
gemma-3-12b-it,14.05,11.98,13.62,1.49,9.82,10.19
phi-4,14.58,19.68,14.82,9.67,12.84,14.32
