Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,80.74,77.96,74.38,78.90,80.82,78.56
Mistral-7B-Instruct-v0.3,76.53,73.31,73.15,76.73,79.39,75.82
Qwen2.5-14B-Instruct,78.96,77.56,71.15,73.96,74.59,75.24
Qwen3-14B,80.92,78.39,74.13,78.51,77.38,77.87
Qwen3.5-9B,76.30,68.78,71.32,72.91,73.31,72.52
gemma-3-12b-it,84.61,79.99,79.06,81.49,83.54,81.74
phi-4,79.91,76.79,76.97,78.75,75.86,77.66
