Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,23.40,29.10,22.21,40.11,57.80,34.52
Mistral-7B-Instruct-v0.3,28.15,35.99,24.86,37.67,53.52,36.04
Qwen2.5-14B-Instruct,27.76,34.31,26.41,41.54,59.50,37.90
Qwen3-14B,31.69,36.42,28.77,40.74,56.58,38.84
Qwen3.5-9B,28.34,32.08,25.11,30.38,36.74,30.53
gemma-3-12b-it,27.78,34.70,25.25,43.02,63.84,38.92
phi-4,37.20,42.34,32.61,37.58,46.60,39.27
