Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,99.00,94.00,98.00,98.00,96.00,97.00
Mistral-7B-Instruct-v0.3,99.00,100.00,99.50,94.00,100.00,98.50
Qwen2.5-14B-Instruct,100.00,98.50,99.00,97.50,100.00,99.00
Qwen3-14B,100.00,100.00,100.00,95.50,100.00,99.10
Qwen3.5-9B,98.00,94.50,97.50,91.50,96.00,95.50
gemma-3-12b-it,96.00,92.00,97.50,95.00,86.50,93.40
phi-4,100.00,99.00,100.00,99.00,100.00,99.60
