Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,99.00,96.50,98.50,85.00,90.50,93.90
Mistral-7B-Instruct-v0.3,100.00,98.00,100.00,94.00,94.50,97.30
Qwen2.5-14B-Instruct,100.00,95.50,100.00,90.50,93.50,95.90
Qwen3-14B,100.00,97.00,100.00,90.00,93.00,96.00
Qwen3.5-9B,100.00,85.00,99.00,81.00,83.50,89.70
gemma-3-12b-it,100.00,97.00,99.50,91.50,89.00,95.40
phi-4,98.00,95.00,99.00,93.50,92.00,95.50
