Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,23.11,36.25,30.96,32.92,44.02,33.45
Mistral-7B-Instruct-v0.3,14.48,30.16,22.04,36.46,41.47,28.92
Qwen2.5-14B-Instruct,20.70,31.58,27.42,33.86,40.84,30.88
Qwen3-14B,22.20,28.02,26.37,33.55,39.78,29.98
Qwen3.5-9B,16.59,19.94,20.38,25.29,31.58,22.76
gemma-3-12b-it,22.92,23.22,26.06,26.27,35.35,26.76
phi-4,19.95,26.97,25.78,31.32,37.14,28.23
