Model,Aina-CA,Aina-EN,Aina-ES,Dolly QA,Neural-Bridge RAG,aggregate
Llama-3.1-8B-Instruct,11.95,17.49,15.92,13.98,17.74,15.42
Mistral-7B-Instruct-v0.3,8.12,20.32,12.91,16.74,18.01,15.22
Qwen2.5-14B-Instruct,12.45,19.93,16.21,16.24,18.53,16.67
Qwen3-14B,15.69,20.32,17.73,15.66,17.57,17.39
Qwen3.5-9B,12.62,15.10,15.21,10.76,11.15,12.97
gemma-3-12b-it,14.90,16.58,17.47,11.78,14.50,15.05
phi-4,14.26,19.54,17.87,14.07,15.26,16.20
